SSN,Disease_Type,Age_Group,Gender,State,Race,Smoking,Alcohol_Consumption,Education_Level,Insurance_Type,Exercise_Frequency,Diet_Quality,Sleep_Hours,Stress_Level,Occupation,Family_History,BMI_Category,Income_Level
191-30-2609,Obesity,46-60,Female,Arizona,Caucasian,Former,Regular,Some college,Medicare,3-4 times/week,Good,6-7,High,Healthcare,No,Normal,"Less than $30,000"
580-13-4874,Chronic Respiratory Disease,61+,Male,California,Black,Current,Occasional,Less than high school,Uninsured,5+ times/week,Fair,Less than 6,High,Healthcare,No,Underweight,"Less than $30,000"
553-69-5139,Type 2 Diabetes,31-45,Male,Ohio,Other,Never,Regular,Bachelor's degree,Uninsured,5+ times/week,Good,Less than 6,High,Office/Desk Job,No,Normal,"$100,000+"
711-95-7821,Liver Disease,46-60,Male,Arizona,Other,Current,Never,Less than high school,Medicare,1-2 times/week,Fair,Less than 6,Low,Retired,No,Overweight,"Less than $30,000"
417-85-7945,Fibromyalgia,31-45,Female,Colorado,Native American,Former,Heavy,High school graduate,Medicare,1-2 times/week,Poor,Less than 6,High,Service Industry,Yes,Underweight,"$75,000-$100,000"
785-74-4827,Fibromyalgia,18-30,Male,Texas,Other,Former,Never,Some college,Uninsured,Never,Fair,Less than 6,Medium,Office/Desk Job,Yes,Obese,"Less than $30,000"
564-35-2462,Colorectal Cancer,31-45,Other,North Carolina,Other,Current,Regular,High school graduate,Medicaid,3-4 times/week,Poor,8+,Low,Office/Desk Job,Yes,Overweight,"$100,000+"
595-96-9328,Type 2 Diabetes,31-45,Female,Pennsylvania,Hispanic,Former,Heavy,Bachelor's degree,Private,3-4 times/week,Poor,Less than 6,Low,Healthcare,Yes,Overweight,"$50,000-$75,000"
971-34-6292,Obesity,31-45,Male,Ohio,Native American,Former,Regular,Graduate degree,Medicare,5+ times/week,Good,Less than 6,Medium,Unemployed,No,Underweight,"$75,000-$100,000"
778-97-5528,Hypertension,31-45,Male,Massachusetts,Native American,Never,Never,Bachelor's degree,Medicaid,1-2 times/week,Poor,6-7,Medium,Manual Labor,No,Overweight,"$75,000-$100,000"
386-44-6378,Depression,31-45,Male,North Carolina,Black,Former,Occasional,Less than high school,Private,5+ times/week,Good,Less than 6,Low,Service Industry,No,Normal,"$75,000-$100,000"
442-97-3892,Liver Disease,31-45,Other,Pennsylvania,Other,Former,Never,Bachelor's degree,Private,1-2 times/week,Excellent,6-7,Medium,Manual Labor,No,Underweight,"$75,000-$100,000"
473-37-9466,Colorectal Cancer,18-30,Other,North Carolina,Native American,Current,Occasional,Less than high school,Uninsured,3-4 times/week,Good,Less than 6,Low,Service Industry,No,Normal,"$75,000-$100,000"
633-64-2249,Hypertension,18-30,Other,Michigan,Black,Former,Regular,Bachelor's degree,Private,5+ times/week,Good,8+,Medium,Unemployed,No,Underweight,"$100,000+"
961-71-6456,Fibromyalgia,61+,Other,Massachusetts,Native American,Never,Never,Bachelor's degree,Medicaid,1-2 times/week,Poor,7-8,Medium,Manual Labor,Yes,Overweight,"$75,000-$100,000"
821-14-4206,Heart Disease,61+,Male,Ohio,Other,Former,Never,Less than high school,Uninsured,Never,Poor,8+,Low,Retired,Yes,Underweight,"$30,000-$50,000"
206-19-1192,Liver Disease,31-45,Female,Pennsylvania,Hispanic,Former,Heavy,Some college,Private,3-4 times/week,Poor,8+,Medium,Retired,Yes,Underweight,"$75,000-$100,000"
435-61-6915,Colorectal Cancer,18-30,Male,Pennsylvania,Black,Current,Regular,Graduate degree,Uninsured,1-2 times/week,Fair,8+,High,Service Industry,Yes,Underweight,"$100,000+"
930-15-3774,Arthritis,46-60,Female,Michigan,Caucasian,Never,Regular,Bachelor's degree,Medicaid,3-4 times/week,Good,8+,Medium,Office/Desk Job,Yes,Overweight,"$100,000+"
478-52-3637,Heart Disease,31-45,Other,Washington,Hispanic,Current,Occasional,Bachelor's degree,Private,1-2 times/week,Poor,7-8,High,Education,Yes,Normal,"$75,000-$100,000"
495-17-9853,Chronic Respiratory Disease,46-60,Female,Massachusetts,Asian,Current,Heavy,Graduate degree,Uninsured,1-2 times/week,Excellent,6-7,Low,Retired,No,Obese,"Less than $30,000"
419-83-8517,Multiple Sclerosis,46-60,Male,North Carolina,Caucasian,Former,Heavy,Less than high school,Medicaid,Never,Excellent,7-8,High,Healthcare,Yes,Obese,"$30,000-$50,000"
402-65-2333,Colorectal Cancer,31-45,Female,Washington,Other,Never,Heavy,Graduate degree,Medicare,Never,Poor,8+,Medium,Manual Labor,Yes,Normal,"$100,000+"
694-11-1998,Heart Disease,31-45,Other,Georgia,Caucasian,Former,Regular,Some college,Private,3-4 times/week,Good,6-7,High,Healthcare,No,Normal,"Less than $30,000"
411-61-8975,Chronic Respiratory Disease,31-45,Female,Ohio,Caucasian,Current,Regular,High school graduate,Private,5+ times/week,Excellent,Less than 6,High,Service Industry,Yes,Underweight,"$30,000-$50,000"
584-57-8507,Breast Cancer,31-45,Male,New York,Native American,Never,Heavy,High school graduate,Medicare,1-2 times/week,Fair,Less than 6,Medium,Education,No,Normal,"$30,000-$50,000"
694-85-1645,Hypertension,46-60,Male,New York,Asian,Never,Occasional,High school graduate,Private,1-2 times/week,Fair,7-8,Low,Unemployed,No,Obese,"$50,000-$75,000"
604-76-5176,Heart Disease,46-60,Other,Michigan,Black,Former,Never,High school graduate,Private,1-2 times/week,Excellent,6-7,High,Office/Desk Job,No,Underweight,"Less than $30,000"
298-71-5594,Depression,31-45,Male,Georgia,Native American,Former,Regular,Less than high school,Private,1-2 times/week,Fair,8+,Medium,Retired,No,Overweight,"$75,000-$100,000"
590-58-6268,Hypertension,31-45,Other,North Carolina,Other,Current,Occasional,Less than high school,Uninsured,Never,Poor,Less than 6,Low,Office/Desk Job,Yes,Obese,"$50,000-$75,000"
617-47-9075,Multiple Sclerosis,46-60,Male,California,Caucasian,Current,Never,High school graduate,Uninsured,5+ times/week,Good,6-7,Medium,Healthcare,No,Normal,"$100,000+"
212-54-9091,Multiple Sclerosis,61+,Other,Colorado,Other,Former,Never,High school graduate,Medicaid,3-4 times/week,Poor,7-8,High,Service Industry,Yes,Normal,"$50,000-$75,000"
176-78-2920,Depression,46-60,Other,Pennsylvania,Black,Never,Regular,High school graduate,Medicare,1-2 times/week,Poor,6-7,Low,Manual Labor,No,Normal,"Less than $30,000"
715-74-8884,Multiple Sclerosis,61+,Other,New York,Hispanic,Never,Occasional,Graduate degree,Medicaid,3-4 times/week,Excellent,6-7,High,Retired,No,Underweight,"$50,000-$75,000"
699-16-6690,Heart Disease,61+,Female,Texas,Asian,Current,Occasional,Bachelor's degree,Private,Never,Good,6-7,Low,Healthcare,Yes,Obese,"$75,000-$100,000"
872-95-5245,Chronic Respiratory Disease,61+,Male,Illinois,Hispanic,Current,Heavy,Some college,Private,5+ times/week,Poor,8+,High,Retired,No,Obese,"$30,000-$50,000"
638-37-1391,Fibromyalgia,31-45,Female,North Carolina,Asian,Former,Heavy,Less than high school,Medicaid,Never,Poor,6-7,Low,Service Industry,Yes,Underweight,"$75,000-$100,000"
536-16-9030,Heart Disease,31-45,Male,New York,Asian,Former,Occasional,Some college,Medicare,3-4 times/week,Poor,Less than 6,High,Healthcare,Yes,Obese,"$30,000-$50,000"
929-83-9143,Depression,46-60,Other,Illinois,Asian,Never,Never,Some college,Uninsured,3-4 times/week,Excellent,6-7,High,Office/Desk Job,Yes,Underweight,"$100,000+"
730-77-1141,Colorectal Cancer,46-60,Other,Florida,Native American,Never,Regular,Graduate degree,Uninsured,Never,Excellent,6-7,Low,Retired,No,Underweight,"$75,000-$100,000"
553-89-2135,Hypertension,61+,Female,North Carolina,Native American,Current,Heavy,Graduate degree,Medicare,5+ times/week,Poor,6-7,Medium,Unemployed,Yes,Normal,"$50,000-$75,000"
610-85-1519,Hypertension,61+,Female,Illinois,Native American,Never,Regular,Graduate degree,Medicare,1-2 times/week,Poor,Less than 6,Low,Office/Desk Job,Yes,Normal,"$75,000-$100,000"
342-29-4867,Hypertension,46-60,Other,Massachusetts,Asian,Current,Never,Graduate degree,Private,1-2 times/week,Poor,7-8,High,Unemployed,No,Underweight,"$100,000+"
157-98-7837,Arthritis,31-45,Other,Pennsylvania,Other,Former,Occasional,High school graduate,Medicaid,3-4 times/week,Fair,Less than 6,Medium,Healthcare,Yes,Overweight,"$30,000-$50,000"
288-97-8943,Heart Disease,61+,Female,Virginia,Native American,Former,Heavy,Less than high school,Medicare,1-2 times/week,Excellent,8+,Low,Retired,No,Obese,"$50,000-$75,000"
791-62-5406,Chronic Kidney Disease,31-45,Other,Illinois,Hispanic,Former,Heavy,Less than high school,Medicaid,3-4 times/week,Fair,7-8,Low,Service Industry,Yes,Underweight,"$30,000-$50,000"
286-24-1119,Chronic Respiratory Disease,31-45,Male,Virginia,Hispanic,Never,Never,Some college,Medicare,3-4 times/week,Poor,Less than 6,High,Manual Labor,Yes,Normal,"$100,000+"
873-52-1597,Lung Cancer,18-30,Other,Colorado,Caucasian,Current,Never,Graduate degree,Uninsured,1-2 times/week,Poor,7-8,Low,Education,Yes,Normal,"$100,000+"
952-82-6757,Breast Cancer,46-60,Female,Virginia,Other,Former,Heavy,Less than high school,Medicare,3-4 times/week,Excellent,Less than 6,Low,Education,No,Normal,"$75,000-$100,000"
972-57-5393,Depression,31-45,Other,Arizona,Native American,Former,Heavy,Less than high school,Private,3-4 times/week,Poor,Less than 6,High,Service Industry,No,Underweight,"$75,000-$100,000"
740-28-1096,Type 2 Diabetes,61+,Male,Arizona,Asian,Never,Regular,Less than high school,Medicaid,5+ times/week,Excellent,7-8,Low,Retired,No,Obese,"$30,000-$50,000"
245-29-4659,Liver Disease,61+,Female,Massachusetts,Native American,Never,Regular,Bachelor's degree,Medicare,5+ times/week,Good,Less than 6,High,Unemployed,No,Normal,"$50,000-$75,000"
368-73-6618,Heart Disease,46-60,Male,Pennsylvania,Caucasian,Never,Never,Less than high school,Uninsured,3-4 times/week,Fair,Less than 6,Low,Manual Labor,Yes,Obese,"Less than $30,000"
687-14-3695,Lung Cancer,46-60,Female,Arizona,Caucasian,Current,Never,High school graduate,Private,Never,Good,8+,Low,Retired,No,Underweight,"$100,000+"
880-88-5370,Colorectal Cancer,31-45,Female,Colorado,Other,Current,Occasional,Some college,Private,3-4 times/week,Poor,8+,High,Retired,No,Underweight,"Less than $30,000"
968-73-4330,Arthritis,46-60,Female,Florida,Caucasian,Former,Regular,High school graduate,Medicaid,3-4 times/week,Excellent,6-7,High,Service Industry,No,Obese,"$30,000-$50,000"
847-74-4943,Type 2 Diabetes,46-60,Male,California,Black,Never,Regular,Bachelor's degree,Uninsured,3-4 times/week,Good,7-8,Medium,Education,Yes,Obese,"$100,000+"
225-31-1723,Colorectal Cancer,46-60,Male,California,Hispanic,Former,Occasional,Bachelor's degree,Medicaid,5+ times/week,Good,6-7,High,Education,Yes,Underweight,"Less than $30,000"
988-25-1197,Hypertension,61+,Male,Florida,Caucasian,Never,Never,Some college,Medicare,Never,Poor,8+,Low,Retired,Yes,Overweight,"$75,000-$100,000"
753-70-8413,Hypertension,46-60,Other,Illinois,Black,Former,Regular,Graduate degree,Uninsured,3-4 times/week,Poor,6-7,High,Healthcare,No,Underweight,"$75,000-$100,000"
365-55-7947,Hypertension,46-60,Other,Florida,Black,Current,Never,High school graduate,Medicaid,5+ times/week,Fair,7-8,Medium,Service Industry,No,Underweight,"$50,000-$75,000"
753-37-2942,Breast Cancer,18-30,Female,Colorado,Black,Never,Occasional,Graduate degree,Uninsured,Never,Poor,6-7,High,Retired,Yes,Overweight,"$100,000+"
978-73-4408,Depression,31-45,Male,Georgia,Caucasian,Never,Heavy,Less than high school,Medicare,3-4 times/week,Fair,6-7,Medium,Education,No,Overweight,"Less than $30,000"
118-65-4184,Type 2 Diabetes,18-30,Other,New York,Asian,Never,Heavy,High school graduate,Uninsured,3-4 times/week,Excellent,8+,Low,Healthcare,Yes,Obese,"$75,000-$100,000"
825-67-6383,Liver Disease,46-60,Other,Massachusetts,Hispanic,Former,Never,Less than high school,Uninsured,5+ times/week,Fair,8+,Low,Unemployed,Yes,Normal,"Less than $30,000"
391-77-5479,Type 2 Diabetes,61+,Female,North Carolina,Asian,Former,Occasional,Some college,Uninsured,5+ times/week,Poor,8+,Low,Retired,No,Normal,"$30,000-$50,000"
423-28-1166,Chronic Respiratory Disease,31-45,Male,Washington,Asian,Never,Never,High school graduate,Private,Never,Fair,7-8,Low,Education,No,Overweight,"$100,000+"
850-27-9231,Multiple Sclerosis,31-45,Male,Florida,Black,Never,Regular,High school graduate,Medicaid,1-2 times/week,Fair,7-8,Low,Service Industry,No,Underweight,"Less than $30,000"
411-31-7015,Breast Cancer,31-45,Other,California,Asian,Never,Occasional,Some college,Uninsured,5+ times/week,Good,8+,Medium,Healthcare,No,Underweight,"Less than $30,000"
294-71-5269,Liver Disease,46-60,Male,Florida,Other,Former,Never,Some college,Uninsured,1-2 times/week,Poor,6-7,Medium,Education,Yes,Normal,"$75,000-$100,000"
932-81-8475,Obesity,31-45,Male,Michigan,Caucasian,Never,Never,Less than high school,Uninsured,5+ times/week,Fair,Less than 6,Low,Education,Yes,Normal,"$30,000-$50,000"
896-82-2806,Hypertension,46-60,Female,Michigan,Hispanic,Current,Never,Less than high school,Uninsured,Never,Excellent,7-8,Medium,Service Industry,No,Overweight,"$50,000-$75,000"
229-61-1496,Arthritis,61+,Male,North Carolina,Other,Former,Occasional,Less than high school,Private,1-2 times/week,Excellent,7-8,Low,Retired,No,Normal,"$30,000-$50,000"
868-70-8209,Arthritis,46-60,Female,Texas,Asian,Never,Never,Some college,Private,Never,Poor,Less than 6,High,Healthcare,No,Overweight,"Less than $30,000"
712-61-6986,Chronic Respiratory Disease,61+,Male,Texas,Black,Current,Occasional,Graduate degree,Uninsured,3-4 times/week,Excellent,6-7,High,Unemployed,No,Underweight,"$75,000-$100,000"
662-26-2039,Breast Cancer,46-60,Male,California,Other,Former,Heavy,Bachelor's degree,Medicaid,1-2 times/week,Excellent,6-7,High,Healthcare,Yes,Underweight,"$75,000-$100,000"
369-72-5402,Breast Cancer,46-60,Other,Ohio,Hispanic,Current,Heavy,High school graduate,Medicaid,Never,Excellent,Less than 6,High,Office/Desk Job,No,Underweight,"$50,000-$75,000"
111-94-2900,Fibromyalgia,46-60,Other,Massachusetts,Asian,Former,Occasional,High school graduate,Medicare,1-2 times/week,Excellent,6-7,High,Manual Labor,No,Normal,"Less than $30,000"
517-37-9967,Chronic Respiratory Disease,31-45,Other,Georgia,Native American,Current,Never,Some college,Uninsured,5+ times/week,Fair,7-8,Low,Manual Labor,Yes,Normal,"$100,000+"
197-15-8967,Chronic Respiratory Disease,46-60,Other,Florida,Caucasian,Current,Occasional,Less than high school,Private,5+ times/week,Excellent,6-7,Medium,Healthcare,Yes,Normal,"$100,000+"
327-81-6986,Heart Disease,31-45,Other,Ohio,Caucasian,Never,Occasional,Bachelor's degree,Medicare,1-2 times/week,Excellent,8+,Low,Office/Desk Job,Yes,Underweight,"Less than $30,000"
666-86-8291,Heart Disease,46-60,Female,Massachusetts,Native American,Never,Occasional,High school graduate,Medicaid,Never,Excellent,Less than 6,High,Unemployed,No,Overweight,"$100,000+"
578-27-4006,Multiple Sclerosis,46-60,Other,Arizona,Other,Never,Regular,Some college,Private,3-4 times/week,Excellent,8+,Medium,Manual Labor,No,Overweight,"$50,000-$75,000"
777-71-2570,Liver Disease,31-45,Male,Illinois,Native American,Current,Occasional,Graduate degree,Uninsured,3-4 times/week,Poor,6-7,High,Manual Labor,No,Overweight,"$30,000-$50,000"
826-48-2157,Fibromyalgia,31-45,Other,Colorado,Asian,Current,Occasional,Bachelor's degree,Medicare,1-2 times/week,Excellent,8+,Medium,Office/Desk Job,No,Normal,"$75,000-$100,000"
925-85-6474,Hypertension,61+,Male,Massachusetts,Hispanic,Former,Heavy,Bachelor's degree,Medicaid,3-4 times/week,Poor,6-7,Low,Retired,No,Underweight,"$75,000-$100,000"
960-50-6173,Liver Disease,61+,Male,Massachusetts,Native American,Former,Heavy,High school graduate,Medicare,Never,Good,7-8,High,Retired,Yes,Normal,"$30,000-$50,000"
922-91-2345,Heart Disease,61+,Female,Florida,Caucasian,Former,Regular,Bachelor's degree,Private,Never,Poor,6-7,Medium,Retired,Yes,Obese,"$50,000-$75,000"
315-44-7148,Breast Cancer,61+,Other,Ohio,Hispanic,Former,Never,High school graduate,Medicaid,5+ times/week,Good,7-8,Low,Retired,No,Obese,"$50,000-$75,000"
954-71-6155,Chronic Respiratory Disease,31-45,Male,Illinois,Caucasian,Former,Never,Bachelor's degree,Uninsured,5+ times/week,Excellent,Less than 6,Low,Manual Labor,No,Obese,"Less than $30,000"
995-33-6682,Depression,46-60,Other,Georgia,Black,Former,Regular,High school graduate,Private,1-2 times/week,Fair,7-8,Medium,Retired,Yes,Normal,"$75,000-$100,000"
645-47-2323,Chronic Respiratory Disease,31-45,Other,Ohio,Hispanic,Never,Never,Less than high school,Medicaid,5+ times/week,Fair,6-7,Medium,Office/Desk Job,No,Underweight,"$100,000+"
691-16-7297,Lung Cancer,31-45,Female,Georgia,Hispanic,Current,Occasional,Graduate degree,Medicare,3-4 times/week,Poor,Less than 6,Medium,Manual Labor,No,Normal,"$30,000-$50,000"
514-65-1613,Fibromyalgia,31-45,Female,North Carolina,Other,Former,Heavy,High school graduate,Medicare,3-4 times/week,Good,6-7,Medium,Manual Labor,No,Normal,"$50,000-$75,000"
503-81-6963,Type 2 Diabetes,31-45,Male,California,Black,Former,Occasional,High school graduate,Medicaid,1-2 times/week,Fair,6-7,High,Education,Yes,Obese,"$30,000-$50,000"
227-39-6382,Type 2 Diabetes,46-60,Other,Illinois,Other,Former,Occasional,Less than high school,Medicare,5+ times/week,Good,7-8,Medium,Office/Desk Job,Yes,Underweight,"$75,000-$100,000"
167-38-3368,Type 2 Diabetes,46-60,Male,Massachusetts,Asian,Current,Regular,Graduate degree,Medicare,1-2 times/week,Poor,6-7,High,Healthcare,Yes,Overweight,"$100,000+"
926-38-9649,Liver Disease,46-60,Other,Pennsylvania,Other,Former,Occasional,High school graduate,Medicare,1-2 times/week,Poor,7-8,Medium,Retired,Yes,Underweight,"Less than $30,000"
555-55-8649,Breast Cancer,31-45,Male,Massachusetts,Caucasian,Former,Regular,High school graduate,Uninsured,Never,Excellent,7-8,Medium,Service Industry,No,Obese,"$50,000-$75,000"
965-55-7214,Chronic Respiratory Disease,31-45,Other,Illinois,Other,Current,Never,Bachelor's degree,Medicare,5+ times/week,Fair,Less than 6,Medium,Education,No,Underweight,"$100,000+"
432-92-3563,Arthritis,61+,Male,Michigan,Caucasian,Never,Heavy,Graduate degree,Private,Never,Fair,6-7,High,Manual Labor,Yes,Underweight,"$75,000-$100,000"
366-85-9598,Multiple Sclerosis,61+,Female,Colorado,Native American,Never,Never,Graduate degree,Medicare,3-4 times/week,Good,Less than 6,Low,Retired,No,Underweight,"$75,000-$100,000"
327-45-4627,Obesity,18-30,Other,Illinois,Caucasian,Former,Occasional,High school graduate,Uninsured,1-2 times/week,Good,8+,Low,Retired,Yes,Underweight,"$30,000-$50,000"
554-25-9492,Type 2 Diabetes,61+,Other,California,Other,Former,Occasional,Less than high school,Uninsured,Never,Fair,7-8,Medium,Office/Desk Job,No,Obese,"$75,000-$100,000"
509-84-9356,Lung Cancer,61+,Female,Florida,Black,Current,Heavy,Less than high school,Uninsured,3-4 times/week,Fair,8+,Medium,Retired,No,Underweight,"$50,000-$75,000"
632-18-4519,Hypertension,61+,Other,Washington,Hispanic,Current,Never,Some college,Private,3-4 times/week,Poor,8+,High,Retired,No,Underweight,"$75,000-$100,000"
949-32-7058,Depression,61+,Male,New York,Asian,Current,Never,High school graduate,Medicaid,1-2 times/week,Fair,Less than 6,Low,Unemployed,No,Normal,"Less than $30,000"
948-77-9719,Colorectal Cancer,31-45,Female,Ohio,Native American,Former,Heavy,High school graduate,Private,1-2 times/week,Good,Less than 6,High,Manual Labor,No,Normal,"Less than $30,000"
921-85-3572,Breast Cancer,46-60,Male,Washington,Hispanic,Former,Occasional,High school graduate,Medicare,3-4 times/week,Good,Less than 6,High,Service Industry,No,Underweight,"Less than $30,000"
239-91-3168,Depression,18-30,Female,Washington,Black,Never,Occasional,Some college,Uninsured,3-4 times/week,Poor,8+,Medium,Unemployed,No,Underweight,"Less than $30,000"
255-95-2518,Breast Cancer,46-60,Male,Washington,Hispanic,Former,Regular,Less than high school,Medicare,3-4 times/week,Poor,7-8,Low,Retired,No,Overweight,"$30,000-$50,000"
994-61-7768,Hypertension,18-30,Other,Michigan,Black,Former,Heavy,Less than high school,Medicaid,3-4 times/week,Good,6-7,Medium,Manual Labor,No,Obese,"$50,000-$75,000"
580-36-9678,Chronic Respiratory Disease,46-60,Other,Colorado,Hispanic,Former,Occasional,High school graduate,Medicaid,1-2 times/week,Fair,6-7,Low,Education,No,Normal,"$75,000-$100,000"
441-37-8308,Heart Disease,18-30,Other,Florida,Asian,Former,Occasional,Less than high school,Uninsured,5+ times/week,Excellent,Less than 6,High,Office/Desk Job,Yes,Underweight,"$50,000-$75,000"
527-79-2862,Hypertension,61+,Female,Massachusetts,Hispanic,Current,Occasional,Some college,Medicaid,1-2 times/week,Fair,6-7,High,Retired,Yes,Obese,"$100,000+"
549-34-1625,Depression,31-45,Male,Illinois,Hispanic,Former,Occasional,Bachelor's degree,Medicare,5+ times/week,Poor,7-8,Low,Office/Desk Job,Yes,Underweight,"$100,000+"
966-45-9589,Lung Cancer,31-45,Other,New York,Asian,Current,Occasional,Bachelor's degree,Private,1-2 times/week,Good,6-7,Medium,Service Industry,Yes,Overweight,"$75,000-$100,000"
290-20-9881,Depression,18-30,Male,Virginia,Native American,Former,Heavy,Graduate degree,Uninsured,1-2 times/week,Good,Less than 6,Low,Retired,Yes,Normal,"$75,000-$100,000"
693-27-4639,Hypertension,61+,Female,Washington,Native American,Never,Never,Less than high school,Private,1-2 times/week,Fair,6-7,High,Retired,No,Normal,"$75,000-$100,000"
189-83-1482,Chronic Respiratory Disease,31-45,Female,Massachusetts,Other,Current,Heavy,Graduate degree,Private,Never,Excellent,8+,Low,Office/Desk Job,Yes,Underweight,"$100,000+"
510-16-8986,Lung Cancer,18-30,Female,Michigan,Other,Current,Regular,Bachelor's degree,Private,5+ times/week,Excellent,8+,Low,Retired,Yes,Underweight,"Less than $30,000"
404-59-7525,Breast Cancer,46-60,Female,Ohio,Black,Current,Never,Some college,Private,5+ times/week,Good,6-7,Medium,Manual Labor,Yes,Normal,"$75,000-$100,000"
651-20-6024,Heart Disease,46-60,Male,Massachusetts,Native American,Never,Occasional,Some college,Private,Never,Fair,7-8,Medium,Office/Desk Job,No,Underweight,"Less than $30,000"
317-14-9309,Liver Disease,46-60,Female,New York,Black,Current,Heavy,Some college,Uninsured,3-4 times/week,Excellent,7-8,Medium,Education,Yes,Obese,"Less than $30,000"
886-37-9876,Breast Cancer,18-30,Female,Michigan,Hispanic,Former,Occasional,Graduate degree,Uninsured,Never,Good,6-7,Medium,Office/Desk Job,Yes,Normal,"$100,000+"
287-44-9988,Lung Cancer,46-60,Other,Michigan,Black,Current,Regular,Bachelor's degree,Medicare,3-4 times/week,Poor,8+,Low,Service Industry,No,Obese,"$75,000-$100,000"
584-16-9149,Fibromyalgia,46-60,Female,Massachusetts,Other,Current,Never,Graduate degree,Private,5+ times/week,Excellent,7-8,Low,Unemployed,Yes,Normal,"$100,000+"
905-69-4380,Fibromyalgia,31-45,Male,Washington,Black,Never,Never,Bachelor's degree,Private,Never,Good,8+,Low,Office/Desk Job,Yes,Normal,"$75,000-$100,000"
953-65-6647,Type 2 Diabetes,31-45,Other,Arizona,Black,Former,Occasional,Less than high school,Medicaid,3-4 times/week,Fair,8+,Low,Service Industry,Yes,Obese,"$100,000+"
885-92-5958,Lung Cancer,18-30,Male,Colorado,Other,Never,Heavy,Less than high school,Medicaid,5+ times/week,Excellent,Less than 6,Medium,Retired,No,Underweight,"$30,000-$50,000"
104-89-1871,Sleep Apnea,46-60,Female,Illinois,Asian,Former,Regular,High school graduate,Uninsured,1-2 times/week,Excellent,8+,Medium,Manual Labor,Yes,Underweight,"$50,000-$75,000"
473-34-5281,Lung Cancer,46-60,Other,Colorado,Hispanic,Never,Never,Less than high school,Medicare,1-2 times/week,Good,6-7,High,Unemployed,No,Normal,"$50,000-$75,000"
514-51-8177,Chronic Kidney Disease,46-60,Male,New York,Hispanic,Never,Regular,Bachelor's degree,Medicaid,Never,Fair,6-7,High,Unemployed,Yes,Underweight,"$100,000+"
981-83-5079,Breast Cancer,61+,Male,Pennsylvania,Caucasian,Current,Heavy,Some college,Uninsured,1-2 times/week,Poor,8+,Low,Retired,Yes,Normal,"$50,000-$75,000"
123-80-7233,Depression,46-60,Male,California,Other,Former,Regular,Less than high school,Medicaid,5+ times/week,Excellent,7-8,Medium,Retired,No,Underweight,"$100,000+"
613-95-2262,Sleep Apnea,61+,Female,Michigan,Black,Current,Heavy,Some college,Uninsured,Never,Poor,Less than 6,Low,Retired,Yes,Obese,"$30,000-$50,000"
255-36-1606,Type 2 Diabetes,46-60,Female,Florida,Other,Current,Occasional,Bachelor's degree,Uninsured,5+ times/week,Excellent,7-8,Low,Manual Labor,Yes,Normal,"Less than $30,000"
134-11-6759,Fibromyalgia,46-60,Male,Massachusetts,Hispanic,Current,Never,High school graduate,Medicaid,1-2 times/week,Good,8+,Medium,Manual Labor,No,Underweight,"$100,000+"
602-54-1505,Lung Cancer,61+,Male,Florida,Native American,Current,Never,Some college,Medicare,Never,Good,8+,Low,Retired,No,Overweight,"$100,000+"
592-69-3254,Heart Disease,46-60,Female,Michigan,Black,Former,Heavy,Some college,Private,3-4 times/week,Excellent,Less than 6,High,Service Industry,No,Underweight,"$100,000+"
258-44-6746,Hypertension,46-60,Male,Pennsylvania,Asian,Former,Never,High school graduate,Medicaid,3-4 times/week,Fair,6-7,Medium,Education,Yes,Obese,"$50,000-$75,000"
246-31-8219,Heart Disease,46-60,Male,Michigan,Caucasian,Never,Occasional,Bachelor's degree,Uninsured,Never,Poor,Less than 6,High,Retired,No,Overweight,"$100,000+"
349-31-5593,Heart Disease,61+,Other,Illinois,Black,Never,Occasional,High school graduate,Medicaid,Never,Good,8+,High,Retired,Yes,Underweight,"$75,000-$100,000"
438-10-1721,Chronic Respiratory Disease,61+,Other,Illinois,Caucasian,Former,Occasional,High school graduate,Private,3-4 times/week,Excellent,7-8,Low,Retired,No,Obese,"$50,000-$75,000"
856-81-4503,Fibromyalgia,31-45,Other,Ohio,Native American,Former,Heavy,Bachelor's degree,Uninsured,1-2 times/week,Fair,6-7,High,Healthcare,Yes,Normal,"$100,000+"
984-33-1459,Hypertension,46-60,Female,North Carolina,Caucasian,Current,Regular,Graduate degree,Medicare,Never,Excellent,7-8,Medium,Healthcare,Yes,Overweight,"$30,000-$50,000"
404-17-9205,Hypertension,61+,Male,Massachusetts,Native American,Former,Never,Less than high school,Medicaid,5+ times/week,Poor,8+,Low,Unemployed,No,Underweight,"$75,000-$100,000"
491-35-9331,Chronic Kidney Disease,46-60,Female,Colorado,Caucasian,Never,Regular,Bachelor's degree,Uninsured,5+ times/week,Good,6-7,Low,Service Industry,Yes,Normal,"$75,000-$100,000"
644-33-3458,Lung Cancer,31-45,Other,Washington,Native American,Current,Heavy,Some college,Medicare,3-4 times/week,Poor,8+,Low,Manual Labor,Yes,Overweight,"$75,000-$100,000"
683-70-8560,Colorectal Cancer,31-45,Male,Illinois,Black,Never,Occasional,High school graduate,Medicaid,3-4 times/week,Excellent,7-8,Medium,Education,Yes,Normal,"$100,000+"
472-93-5417,Chronic Respiratory Disease,18-30,Other,Florida,Caucasian,Former,Regular,Less than high school,Medicare,Never,Fair,Less than 6,Low,Unemployed,No,Normal,"$75,000-$100,000"
